program,Author(s),Author(s) Full Name,Year,Title,Place of Publication,Call No.,Book ID (Accession No.),Description,ISBN,Images
Computer Science,"Patiño, D. C. R.",Dennis Cesar R. Patiño,2015.0,Developing useful computer applications for today's world: fundamentals of e-commerce application development. Second edition.,Quezon City : Phoenix 	Publishing House.,FIL 658.4038011 P298d 2015,T44882,Serves as a guide that will allow the application of those technologies for use in electronic commerce.,978-9-71063750-8,https://www.phoenix.com.ph/wp-content/uploads/2025/08/developing.png
Computer Science,"Balti, H.",Haythem Balti,2021.0,Alan Galloway. Job ready java,"Hoboken, New Jersey: Wiley.",005.133 B197j 2021,T45136 ,"Delivers a comprehensive and foundational approach to Java that is immediately applicable to real-world environments. Based on the highly regarded and effective Software Guild Java Bootcamp: Object Oriented Programming course, this book teaches you the basic and advanced Java concepts you will need at any entry-level Java position",978-1-11977564-5,https://www.wiley.com/en-us/Job+Ready+Java-p-9781119775652
Computer Science,"Binnie, C. & McCune, R.",Chris Binnie and Rory McCune,2021.0,Cloud native security,"Hoboken, New Jersey: Wiley.",005.8 B614c 2021,T45148,"Delivers a detailed treatment of how to minimize the attack surfaces found on today's cloud native infrastructure. Incorporating hands-on examples, the book teaches you to mitigate threats and eliminate areas of concern that tend to lead to security compromises. The book contains the information that security professionals need to know in order to operate secure, hardened and therefore reliable cloud native estates.
",978-1-11978223-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119782230.gif
Computer Science,"Bresnahan, C. & Blum, R.",Christine Bresnahan and Richard Blum,2021.0,Mastering Linux system administration.,"Hoboken, New Jersey: Sybex",005.432 B842m 2021,T45144,"Achieve Linux system administration mastery with time-tested and proven techniques In Mastering Linux System Administration, Linux experts and system administrators Christine Bresnahan and Richard Blum deliver a comprehensive roadmap to go from Linux beginner to expert Linux system administrator with a learning-by-doing approach. Organized by do-it-yourself tasks, the book includes instructor materials like a sample syllabus, additional review questions, and slide decks. Amongst the practical applications of the Linux operating system included within, you'll find detailed and easy-to-follow instruction on: Installing Linux servers, understanding the boot and initialization processes, managing hardware, and working with networks Accessing the Linux command line, working with the virtual directory structure, and creating shell scripts to automate administrative tasks Managing Linux user accounts, system security, web and database servers, and virtualization environments Perfect for entry-level Linux system administrators, as well as system administrators familiar with Windows, Mac, NetWare, or other UNIX systems, Mastering Linux System Administration is a must-read guide to manage and secure Linux servers.",978-1-11979445-5,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119794455.gif
Computer Science,"Upadhyay, S. P.",Dr. Satya Prakash Upadhyay,2023.0,Key principles in computation,"Burlington, ON: Arcler Press", 004.6 U65k 2023,T45189,"Contains all of the computer science knowledge necessary to complete the tasks; the only prerequisite is programming expertise. This is required reading for professionals in science and engineering fields that include a ""computational"" component, for practitioners in computing seeking overviews of less familiar areas of computer science, and for non-computer science majors seeking an accessible introduction to the field.",978-1-77469-436-7,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781774694367.gif
Computer Science,"Gregoire, M. ",Marc Gregoire,2021.0,Professional C++. Fifth edition.,"Indianapolis, Indiana: Wrox.",005.133 G819p 2021 ,T45133 ,"Improves existing C++ competencies quickly and efficiently with this advanced volume. Professional C++, 5th Edition raises the bar for advanced programming manuals. Complete with a comprehensive overview of the new capabilities of C++20, each feature of the newly updated programming language is explained in detail and with examples. Case studies that include extensive, working code round out the already impressive educational material found within. Without a doubt, the new 5th Edition of Professional C++ is the leading resource for dedicated and knowledgeable professionals who desire to advance their skills and improve their abilities. This book contains resources to help readers: Maximize the capabilities of C++ with effective design solutions, Master little-known elements of the language and learn what to avoid, adopt new workarounds and testing/debugging best practices, utilize real-world program segments in your own applications, notoriously complex and unforgiving, C++ requires its practitioners to remain abreast of the latest developments and advancements.",978-1-11969540-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119695400.gif
Computer Science,"Hall, P. A. & Davila, P.",Peter A. Hall and Patricio Dávila,2023.0,Critical visualization: rethinking the representation of data,London: Bloomsbury Visual Arts,001.4226 H174c 2023,T45093,"""Information may be beautiful, but our decisions about the data we choose to represent and how we represent it are never neutral. This insightful history traces how data visualization accompanied modern technologies of war, colonialism and the management of social issues of poverty, health and crime. Discussion is based around examples of visualization, from the ancient Andean information technology of the quipu to contemporary projects that show the fate of our rubbish and take a participatory approach to visualizing cities. This analysis places visualization in its theoretical and cultural contexts, and provides a critical framework for understanding the history of information design with new directions for contemporary practice."" -- Publisher's Description.
",978-1-35007724-9,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781350077249.gif
Computer Science,"Knuth, D. E.",Donald E. Knuth,2023.0,The art of computer programming: volume 4b,Boston : Addison-Wesley,005.1 K74a 2023,T45203,"Includes hundreds of exercises that employ Knuch's ingenious rating system, making it easy for readers of varying degrees of mathematical training to find challenges suitable to them.
",978-0-201-03806-4,https://dlm.dlsl.edu.ph/passthrough?image=10108/9780201038064.gif
Computer Science,"Nagel, C.",Christian Nagel,2022.0,Professional C# and .NET. 2021 edition,"Hoboken, New Jersey: Wrox", 004.67 N147p 2022,T45134,"Get the latest coverage of the newest features in C#9 and .NET 5 In Professional C# and .NET: 2021 Edition, Microsoft MVP for Visual Studio and Development Technologies and veteran developer, Christian Nagel, delivers a comprehensive tour of the new features and capabilities of C#9 and .NET 5. Experienced programmers making the transition to C# will benefit from the author's in-depth explorations to create Web- and Windows applications using ASP.NET Core, Blazor, and WinUI using modern application patterns and new features offered by .NET including Microservices deployed to Docker images, GRPC, localization, asynchronous streaming, and much more. The book also offers: Discussions of the extension of .NET to non-Microsoft platforms like OSX and Linux Explanations of the newest features in C#9, including support for record types, and enhanced support for tuples, pattern matching, and nullable reference types Integrating .NET applications with Microsoft Azure services such as Azure App Configuration, Azure Key Vault, Azure Functions, the Azure Active Directory, and others Downloadable code examples from wrox.com and github.com with online updates for C# 10 and .NET 6 Perfect for programmers with a background in C#, Visual Basic, Java, or C/C++, Professional C# and .NET: 2021 Edition will also earn a place in the libraries of software architects seeking an up-to-date and fulsome treatment of the latest C# and .NET releases.
",978-1-11979720-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119797203.gif
Computer Science,"Patton, H. E. ",Helen E. Patton,2022.0,Navigating the cybersecurity career path.,"Hoboken, New Jersey: Wiley",005.8 P322n 2022,T45143,"Offers readers succinct explanations of how and why the cybersecurity industry's approach to hiring and promotion is unique and how to use this knowledge to succeed in the field. It also discusses how to progress from an entry-level position in the industry to a more senior position leading security teams and programs.
",978-1-11983342-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119833420.gif
Computer Engineering,"Driscoll, P. J. & Parnell, G. S. (Eds.)","Patrick J. Driscoll, Gregory S. Parnell, and Dale L. Henderson",2023.0,Decision making in systems engineering and management. Third edition,"Hoboken, NJ: John Wiley & Sons, Inc.",621.38216 D294 2023,T45097,"""Systems engineering is an interdisciplinary field of engineering and engineering management that focuses on how to design, integrate, and manage complex systems over their life cycles. At its core, systems engineering utilizes systems thinking principles to organize this body of knowledge.""-- Provided by publisher.
",978-1-11990140-2,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119901402.gif
Computer Engineering,"Pomperada, J. R. & Castellano, J. V.",Jake R. Pomperada and Jason V. Castellano,2023.0,Introduction to software engineering. ,Manila: Unlimited Books Library Services & Publishing Inc.,FIL 005.1 P788i 2023,T45844,"Explores students, professional and anyone the fundamental concepts, principles, and practices to understand the basics of software engineering and its applications in software development.",978-6-214-27159-7,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786214271597.gif
Computer Engineering,"Murlak, F., Niwinski, D. & Rytter, W. (Eds.)","Filip Murlak, Damian Niwiński, and Wojciech Rytter",2023.0,"200 problems on languages, automata and computation",United Kingdom: Cambridge University Press,511.3 T974 2023,T46134,"Provides a rich source of compelling exercises designed to help student grasp the subject intuitively through practice.
",978-1-00907378-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781009073783.gif
Computer Engineering,"Stephens, R.",Rod Stephens,2023.0,Beginning software engineering. Second edition,"Hoboken, New Jersey: Wiley",005.1 S835b 2023,T46078,"Delivers the fundamentals of software engineering, showing you how to create well-constructed applications that meet user's needs.
",978-1-11990170-9,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781119901709.gif
Computer Engineering,"Abante, M. V., Villegas, R. A., Gueta, L. B., Balontong, A. 	J., Neones, M. R. M., Del Mundo, L., Robas, C., Lagrazon, 	P. G. G., Ceribo, C. M. C. & Gonzales, L. A.","Dr. Marmelo V. Abante, Renato A. Villegas, Loupel B. Gueta, Anrem Jazmin Balontong, Mark Raffy Neones, Lersan Del Mundo, Clarence Robas, and Pitz Gerald Lagrazon ",2024.0,System integration and enterprise architecture 2,Manila: Unlimited Books Library Services & Publishing Inc.,FIL 004.2 A117s 2024,T46604,Provides students with the important skills in insights you need to traverse the complex environment of enterprise architecture.,978-6-214-27171-9,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786214271719.gif
Computer Engineering,"Asadi, F. ",Farzin Asadi,2023.0,Essentials of Arduino boards programming: step-by-step guide to master Arduino boards hardware and software,New York: Apress,629.8 A798e 2023,T46625,"Features diverse, real-world Arduino examples for learners of every experience level.",978-1-48429599-1,https://dlm.dlsl.edu.ph/passthrough?image=10108/9781484295991.gif
